div17,party,votes17,prop17,votes15,prop15,swing,reg,n
Caloundra,ALP,13554,46.59,12202,46.18,0.41,SC,u
Capalaba,LNP,13073,42.14,12163,42.94,-0.8,MS,u
Chatsworth,ALP,14172,47.1,14285,47.38,-0.28,MS,u
Clayfield,ALP,15279,47.59,12515,42.79,4.8,MN,u
Coomera,ALP,13638,46.53,12766,41.47,5.06,GC,u
Cooper,LNP,12727,39.35,13498,45.75,-6.4,MW,u
Currumbin,ALP,12938,46.69,11734,44.77,1.92,GC,u
Everton,ALP,14585,45.06,13944,48.23,-3.17,MN,u
Ferny Grove,LNP,14093,45.37,13979,49.18,-3.81,MW,u
Gaven,LNP,13052,49.29,13362,52.24,-2.95,GC,u
Glass House,ALP,13400,46.57,14074,48.59,-2.02,SC,u
Greenslopes,LNP,12174,39.87,12607,45.75,-5.88,MS,u
Hervey Bay,ALP,13066,40.9,12517,43.38,-2.48,WB,r
Hinchinbrook,LNP,12013,42.45,14354,57.06,-14.61,NQ,r
Inala,LNP,6528,23.91,6715,24.88,-0.97,MW,u
Kawana,ALP,10746,36.93,11285,39.91,-2.98,SC,u
Kurwongbah,LNP,12733,43.01,12657,43.87,-0.86,MN,u
Lockyer,ONP,13306,45.93,13116,49.78,-3.85,WM,u
Lytton,LNP,11965,37.98,11265,40.2,-2.22,MS,u
McConnel,LNP,11559,42.14,12584,46.75,-4.61,MN,u
Mackay,LNP,12894,41.66,8162,37.61,4.05,NQ,r
Mansfield,LNP,13971,48.38,13113,50.55,-2.17,MS,u
Maroochydore,ALP,11759,41.48,11523,40.73,0.75,SC,u
Mermaid Beach,ALP,11747,43.74,9647,37.07,6.67,GC,u
Miller,LNP,12533,41.82,10551,36.7,5.12,MW,u
Mirani,ALP,13025,45.18,15206,54.82,-9.64,CQ,r
Moggill,ALP,13936,44.97,11778,41.79,3.18,MW,u
Mount Ommaney,LNP,13691,44.24,13902,50.23,-5.99,MW,u
Mudgeeraba,ALP,11938,40.15,10337,39.03,1.12,GC,u
Mulgrave,LNP,10769,39.08,9205,37.24,1.84,FNQ,r
Mundingburra,LNP,13639,48.87,11733,47.24,1.63,NQ,r
Murrumba,LNP,12511,40.48,14079,42.65,-2.17,MN,u
Noosa,LNP,11616,38.47,16513,58.62,-20.15,SC,u
Nudgee,LNP,11059,35.68,11418,38.75,-3.07,MN,u
Oodgeroo,ALP,11867,42.76,13599,44.55,-1.79,MS,u
Pine Rivers,LNP,14234,43.81,12440,42.32,1.49,MN,u
Pumicestone,ALP,14520,49.16,16166,52.08,-2.92,SC,u
Redcliffe,LNP,13835,45.14,12230,42.42,2.72,MN,u
Redlands,LNP,13944,46.94,14399,52.23,-5.29,MS,u
Sandgate,LNP,11487,36.52,11462,39.9,-3.38,MN,u
Southport,ALP,11351,42.76,12415,46.76,-4,GC,u
Springwood,LNP,13963,46.41,13678,48.27,-1.86,MS,u
Stafford,LNP,12101,37.9,11249,40.41,-2.51,MN,u
Stretton,LNP,11146,40.11,11778,45.02,-4.91,MW,u
Surfers Paradise,ALP,7707,30.22,8188,30.79,-0.57,GC,u
Toohey,LNP,11011,39.99,10901,42.81,-2.82,MW,u
Toowoomba North,ALP,13777,44.28,14064,48.39,-4.11,SWQ,r
Toowoomba South,ALP,12815,40.02,12018,41.11,-1.09,SWQ,r
Townsville,LNP,13975,49.62,11360,44.31,5.31,NQ,r
Whitsunday,ALP,13457,49.32,14347,49.62,-0.3,NQ,r
Woodridge,LNP,6479,23.63,5839,24.05,-0.42,WM,u
