div17,Candidate,Party,Votes,Prop
Condamine,"ASHMAN, Frank",ONP,13000,40.1
Cook,"SACKLEY, Jen",ONP,11129,44.16
Coomera,"JOHNSON, Christopher",ALP,13638,46.53
Cooper,"SHEARMAN, Robert",LNP,12727,39.35
Currumbin,"LEADER, Georgi",ALP,12938,46.69
Everton,"GREENE, David",ALP,14585,45.06
Ferny Grove,"ELSTON, Nick",LNP,14093,45.37
Gaven,"CRAMP, Sid",LNP,13052,49.29
Gladstone,"LOHSE, Amy",ONP,7887,29.3
Glass House,"HAMPSTEAD, Brent",ALP,13400,46.57
Greenslopes,"KAYE, Ian",LNP,12174,39.87
Gregory,"HIGGINS, Mark",ONP,7613,36.06
Gympie,"DOBSON, Chelle",ONP,13125,41.32
Hervey Bay,"TANTARI, Adrian",ALP,13066,40.9
Hill,"QUAGLIATA, Mario",LNP,9461,30.25
Hinchinbrook,"CRIPPS, Andrew",LNP,12013,42.45
Inala,"MCFARLANE, Leanne",LNP,6528,23.91
Ipswich,"ROBERTS, Malcolm",ONP,10447,39.11
Ipswich West,"TRUSSELL, Brad",ONP,11843,41.28
Jordan,"PUCCI, Michael",ONP,11156,40.09
Kawana,"MOSS, Mark",ALP,10746,36.93
Keppel,"LOTH, Matt",ONP,14480,46.86
Kurwongbah,"COOK, Allan",LNP,12733,43.01
Lockyer,"SAVAGE, Jim",ONP,13306,45.93
Logan,"BANNAN, Scott",ONP,11720,43.17
Lytton,"STRAHAN, Karren",LNP,11965,37.98
Macalister,"VAN MANEN, Judi",LNP,11850,42.55
McConnel,"FORSTER, Jamie",LNP,11559,42.14
Mackay,"BATZLOFF, Nicole",LNP,12894,41.66
Maiwar,"EMERSON, Scott",LNP,15413,48.37
Mansfield,"WALKER, Ian",LNP,13971,48.38
Maroochydore,"MCGLONE, Julie",ALP,11759,41.48
Maryborough,"HANSEN, James",ONP,14949,47.54
Mermaid Beach,"BLUNDELL-THORNTON, Joshua",ALP,11747,43.74
Miller,"KIPPEN, Belinda",LNP,12533,41.82
Mirani,"PEARCE, Jim",ALP,13025,45.18
Moggill,"JONES, Evan",ALP,13936,44.97
Morayfield,"HANSEN, Rodney",ONP,11818,41.28
Mount Ommaney,"SMITH, Tarnya",LNP,13691,44.24
Mudgeeraba,"TAYLOR, Paul",ALP,11938,40.15
Mulgrave,"SAMPERI, Karina",LNP,10769,39.08
Mundingburra,"DERLAGEN, Matthew",LNP,13639,48.87
Murrumba,"GULLEY, Reg",LNP,12511,40.48
Nanango,"GRANT, Douglas",ONP,11490,36.64
Nicklin,"RAETHEL, Justin",ALP,12319,44.72
Ninderry,"GISSANE, Bill",ALP,12335,41.62
Noosa,"ELMES, Glen",LNP,11616,38.47
Nudgee,"GLAZE, Debbie",LNP,11059,35.68
Oodgeroo,"AUSTIN, Tony",ALP,11867,42.76
Pine Rivers,"THOMPSON, Chris",LNP,14234,43.81
Pumicestone,"HOOGWAERTS, Michael",ALP,14520,49.16
Redcliffe,"DOOLEY, Kerri-Anne",LNP,13835,45.14
Redlands,"MCEACHAN, Matt",LNP,13944,46.94
Rockhampton,"ROTHERY, Wade",ONP,13661,44.81
Sandgate,"VAN DER HOEK, Jessie",LNP,11487,36.52
Scenic Rim,"SMITH, Rod",ONP,11578,36.88
South Brisbane,"MACMAHON, Amy",GRN,12912,46.45
Southern Downs,"COYNE, Joshua",ONP,11471,36.94
Southport,"SEARLE, Judy",ALP,11351,42.76
Springwood,"TALTY, Julie",LNP,13963,46.41
Stafford,"SANGJITPHUN, Ed",LNP,12101,37.9
Stretton,"OSTAPOVITCH, Freya",LNP,11146,40.11
Surfers Paradise,"WALKER, Tony",ALP,7707,30.22
Theodore,"STANTON, Luz",ALP,12443,46.28
Thuringowa,"THORNTON, Mark",ONP,13374,45.85
Toohey,"SHORTEN, Anthony",LNP,11011,39.99
Toowoomba North,"SHINE, Kerry",ALP,13777,44.28
Toowoomba South,"KRAUSE, Susan",ALP,12815,40.02
Townsville,"SCOTT, Casie",LNP,13975,49.62
Traeger,"SLADE, Danielle",ALP,4430,21.51
Warrego,"LOUGHNAN, Rob",KAP,10172,40.54
Waterford,"MILLER, Kim",ONP,10285,39.25
Whitsunday,"TAHA, Bronwyn",ALP,13457,49.32
Woodridge,"ROOMS, Michael",LNP,6479,23.63
