surname,givenName,prop17,votes17,party,division,prop15,votes15,swing,reg,n
Young,Graham,3.52,1078,ZZZ,Redcliffe,2.3,701,1.22,MN,u
Dooley,Kerri-Anne,37.24,11414,LNP,Redcliffe,37.72,11497,-0.48,MN,u
Jarvis,Shayne,2.51,770,ZZZ,Redcliffe,2.3,701,0.21,MN,u
D'Ath,Yvette,45.2,13851,ALP,Redcliffe,47.24,14399,-2.04,MN,u
Keogh,David,8.51,2527,GRN,Redlands,7.43,2261,1.08,MS,u
Dowling,Peter,9.73,2889,ZZZ,Redlands,6.37,1939,3.36,MS,u
Richards,Kim,32.29,9591,ALP,Redlands,34.33,10442,-2.04,MS,u
Quick,Jason,17.71,5262,ONP,Redlands,0,0,17.71,MS,u
McEachan,Matthew,31.76,9435,LNP,Redlands,43.86,13340,-12.1,MS,u
Rodgers,Douglas,17.85,5442,LNP,Rockhampton,30.39,8869,-12.54,Cap,r
O'Rourke,Barry,31.74,9675,ALP,Rockhampton,52.88,15432,-21.14,Cap,r
Strelow,Margaret,23.53,7174,ZZZ,Rockhampton,4.51,1317,19.02,Cap,r
Rothery,Wade,21.39,6521,ONP,Rockhampton,0,0,21.39,Cap,r
Giamarelos,Kate,5.49,1674,GRN,Rockhampton,6.38,1863,-0.89,Cap,r
Hinchliffe,Stirling,49.15,15460,ALP,Sandgate,49.74,14802,-0.59,MN,u
Le Roy,Miree,12.67,3985,GRN,Sandgate,10.19,3033,2.48,MN,u
Van Der Hoek,Jessie-Lee,23.23,7308,LNP,Sandgate,36.85,10967,-13.62,MN,u
Stephen,Matthew,14.95,4703,ONP,Sandgate,0,0,14.95,MN,u
Girard,Shannon,9.9,3109,GRN,Scenic Rim,8.22,2613,1.68,WM,u
Buchan,Carolyn,21.49,6748,ALP,Scenic Rim,29.2,9281,-7.71,WM,u
Krause,Jonathan,41.02,12878,LNP,Scenic Rim,47.47,15086,-6.45,WM,u
Smith,Rodney,27.59,8662,ONP,Scenic Rim,6.75,2145,20.84,WM,u
Boele,Karel,1.74,484,ZZZ,South Brisbane,3.22,930,-1.48,MW,u
Trad,Jacklyn,36,10007,ALP,South Brisbane,42.71,12355,-6.71,MW,u
Murray,Cameron,1.86,516,ZZZ,South Brisbane,3.22,930,-1.36,MW,u
MacMahon,Amy,34.35,9549,GRN,South Brisbane,21.85,6320,12.5,MW,u
Kelly,Karagh-Mae,0.9,249,ZZZ,South Brisbane,3.22,930,-2.32,MW,u
Quinn,Simon,24.33,6764,LNP,South Brisbane,32.22,9321,-7.89,MW,u
Jordan,Frank,0.83,230,ZZZ,South Brisbane,3.22,930,-2.39,MW,u
Lister,James,41.21,12797,LNP,Southern Downs,62.79,19275,-21.58,SWQ,r
Richters,Joel,16.89,5245,ALP,Southern Downs,23.46,7201,-6.57,SWQ,r
MacKenzie,Robert,16.24,5042,ZZZ,Southern Downs,0,0,16.24,SWQ,r
Coyne,Joshua,20.39,6331,ONP,Southern Downs,0,0,20.39,SWQ,r
Nauss,Jay,0.97,300,ZZZ,Southern Downs,0,0,0.97,SWQ,r
Van Geuns,Antonia,4.31,1340,GRN,Southern Downs,7.17,2200,-2.86,SWQ,r
Le Plastrier,Michelle,10.57,2806,GRN,Southport,8.45,2446,2.12,GC,u
Molhoek,Robert,47.08,12499,LNP,Southport,45.92,13287,1.16,GC,u
Flori,Ricky,9.78,2597,ZZZ,Southport,2.23,646,7.55,GC,u
Joubert,Johan,2.9,769,CR,Southport,0,0,2.9,GC,u
Searle,Judith,29.67,7877,ALP,Southport,35.09,10153,-5.42,GC,u
Taylor,John,6.52,1961,CR,Springwood,0,0,6.52,MS,u
De Brenni,Michael,44.17,13289,ALP,Springwood,41.12,12260,3.05,MS,u
Talty,Julie,40.27,12117,LNP,Springwood,42.08,12547,-1.81,MS,u
Cotter,Neil,9.04,2721,GRN,Springwood,8.7,2595,0.34,MS,u
Lynham,Anthony,48.09,15357,ALP,Stafford,48.14,13824,-0.05,MN,u
Sangjitphun,Wuttipong,33.63,10739,LNP,Stafford,37.69,10822,-4.06,MN,u
Meyer,John,18.27,5835,GRN,Stafford,14.17,4069,4.1,MN,u
Holley,Shane,11.87,3298,ONP,Stretton,0,0,11.87,MW,u
Nandaula,Anisa,7.41,2059,GRN,Stretton,5.23,1502,2.18,MW,u
Reddy,Shyamal,1.74,484,ZZZ,Stretton,15.44,4431,-13.7,MW,u
Ostapovitch,Freya,28.37,7884,LNP,Stretton,37.93,10884,-9.56,MW,u
Pegg,Duncan,50.6,14061,ALP,Stretton,41.39,11876,9.21,MW,u
Walker,Anthony,22.41,5715,ALP,Surfers Paradise,22.74,6544,-0.33,GC,u
Langbroek,John-Paul,63.23,16127,LNP,Surfers Paradise,61.06,17569,2.17,GC,u
Baker-Pearce,Tylere,2.18,556,ZZZ,Surfers Paradise,0,0,2.18,GC,u
Turner,Scott,9.11,2323,GRN,Surfers Paradise,7.72,2221,1.39,GC,u
Manley,Christopher,3.08,785,ZZZ,Surfers Paradise,0,0,3.08,GC,u
Boothman,Mark,39.71,10678,LNP,Theodore,0,0,39.71,GC,u
Meni,Tina,9.8,2634,GRN,Theodore,0,0,9.8,GC,u
Stanton,Luz,31.47,8462,ALP,Theodore,0,0,31.47,GC,u
Lane,Darrell,19.02,5114,ONP,Theodore,0,0,19.02,GC,u
Rubenach,Michael,5.6,1633,GRN,Thuringowa,3.51,1028,2.09,NQ,r
Harper,Aaron,32.21,9394,ALP,Thuringowa,39.51,11584,-7.3,NQ,r
Martinez,Nicholas,21.22,6191,LNP,Thuringowa,33.92,9945,-12.7,NQ,r
Lane,Stephen,5.24,1527,ZZZ,Thuringowa,1.97,579,3.27,NQ,r
Thornton,Mark,20.15,5878,ONP,Thuringowa,7.37,2161,12.78,NQ,r
Fox,Terrence,15.59,4546,KAP,Thuringowa,0,0,15.59,NQ,r
Shorten,Anthony,30.27,8336,LNP,Toohey,39.96,10537,-9.69,MW,u
Zhang,Guansheng,10.5,2891,ONP,Toohey,0,0,10.5,MW,u
Russo,Peter,44.61,12284,ALP,Toohey,49.27,12993,-4.66,MW,u
King,Gordon,14.62,4026,GRN,Toohey,10.77,2839,3.85,MW,u
Chidley,Emmeline,6.53,2033,GRN,Toowoomba North,4.56,1430,1.97,SWQ,r
Wilson,Paul,14.66,4561,ONP,Toowoomba North,0,0,14.66,SWQ,r
Townsend,Josephine,3.59,1118,ZZZ,Toowoomba North,1.11,347,2.48,SWQ,r
Watts,Trevor,42.19,13128,LNP,Toowoomba North,44.41,13932,-2.22,SWQ,r
Shine,Kerry,33.02,10274,ALP,Toowoomba North,38.78,12166,-5.76,SWQ,r
Scamp,Jeremy,16.47,5273,ONP,Toowoomba South,0,0,16.47,SWQ,r
Krause,Susan,26.94,8626,ALP,Toowoomba South,34.81,10601,-7.87,SWQ,r
Janetzki,David,46.51,14893,LNP,Toowoomba South,55.33,16851,-8.82,SWQ,r
Berry,Robert,2.88,923,ZZZ,Toowoomba South,0,0,2.88,SWQ,r
Nelligan,Alyce,7.21,2308,GRN,Toowoomba South,9.86,3003,-2.65,SWQ,r
Collins,Lindy,4.72,1330,ZZZ,Townsville,0,0,4.72,NQ,r
Stewart,Scott,33.58,9457,ALP,Townsville,40.06,11267,-6.48,NQ,r
Ryan,Rebecca,10.85,3057,GRN,Townsville,8.38,2356,2.47,NQ,r
Scott,Casie,30.92,8709,LNP,Townsville,36.02,10130,-5.1,NQ,r
Evans,Allan,19.92,5611,ONP,Townsville,3.84,1079,16.08,NQ,r
Katter,Robert,66.23,13638,KAP,Traeger,46.77,7468,19.46,FNQ,r
Bird,Ronald,10.06,2071,LNP,Traeger,29.09,4646,-19.03,FNQ,r
Scriven,Craig,1.66,342,ZZZ,Traeger,0,0,1.66,FNQ,r
Isaacs,Sarah,3.32,683,ZZZ,Traeger,0,0,3.32,FNQ,r
Slade,Danielle,16.59,3416,ALP,Traeger,18.15,2899,-1.56,FNQ,r
Relph,Peter,2.15,443,GRN,Traeger,1.99,318,0.16,FNQ,r
Mazlin,Ian,3.09,775,GRN,Warrego,2.68,649,0.41,SWQ,r
Leahy,Ann,47.63,11949,LNP,Warrego,54.96,13285,-7.33,SWQ,r
Bamberry,Sandra,2.92,732,ZZZ,Warrego,6.88,1663,-3.96,SWQ,r
O'Brien,Mark,21.69,5441,ALP,Warrego,26.47,6398,-4.78,SWQ,r
Loughnan,Robert,21.24,5329,KAP,Warrego,0,0,21.24,SWQ,r
Stone,Mark,3.44,863,ZZZ,Warrego,6.88,1663,-3.44,SWQ,r
Westguard,Felicity,20.03,5248,LNP,Waterford,31.3,9347,-11.27,MS,u
McKenzie McKinnon,Lee,4.25,1113,ZZZ,Waterford,4.87,1454,-0.62,MS,u
McKenzie McKinnon,Lee,4.25,1113,ZZZ,Waterford,2.93,876,1.32,MS,u
Miller,Kimberley,20.7,5423,ONP,Waterford,0,0,20.7,MS,u
Fentiman,Shannon,47.71,12501,ALP,Waterford,52.4,15645,-4.69,MS,u
Petersen,Kirsty,7.32,1918,GRN,Waterford,8.5,2537,-1.18,MS,u
Skippen,Noel,20.05,5471,ONP,Whitsunday,0,0,20.05,NQ,r
Costigan,Jason,32.16,8774,LNP,Whitsunday,41.76,13474,-9.6,NQ,r
Lindenberg,Imogen,5.72,1562,GRN,Whitsunday,6.11,1972,-0.39,NQ,r
Van Blarcom,Gilbert,1.75,477,ZZZ,Whitsunday,3.09,997,-1.34,NQ,r
Whitney,Jennifer,9.16,2499,KAP,Whitsunday,0,0,9.16,NQ,r
Taha,Bronwyn,31.16,8503,ALP,Whitsunday,36.49,11775,-5.33,NQ,r
Dick,Cameron,65.06,17837,ALP,Woodridge,62.72,16375,2.34,WM,u
Rice,Jacob,7.56,2072,GRN,Woodridge,7.36,1922,0.2,WM,u
Rooms,Michael,15.04,4122,LNP,Woodridge,19.69,5140,-4.65,WM,u
Palmer,Trevor,12.35,3385,ZZZ,Woodridge,6.58,1718,5.77,WM,u
Palmer,Trevor,12.35,3385,ZZZ,Woodridge,3.65,954,8.7,WM,u
